edad,clase_trabajo,peso_final,educacion,educacion_num,estado_civil,ocupacion,relacion,raza,sexo,ganancia_capital,perdida_capital,horas_por_semana,pais_origen,ingreso
90,?,77053,Bachillerato,9,Viudo,?,Fuera-de-familia,Blanco,Mujer,0,4356,40,Estados-Unidos,<=50K
82,Privado,132870,Bachillerato,9,Viudo,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Mujer,0,4356,18,Estados-Unidos,<=50K
66,?,186061,Algunos-cursos-universitarios,10,Viudo,?,Soltero,Negro,Mujer,0,4356,40,Estados-Unidos,<=50K
54,Privado,140359,7mo-8vo grado,4,Divorciado,Operador-máquina-inspector,Soltero,Blanco,Mujer,0,3900,40,Estados-Unidos,<=50K
41,Privado,264663,Algunos-cursos-universitarios,10,Separado,Profesional-especialista,Hijo-propia,Blanco,Mujer,0,3900,40,Estados-Unidos,<=50K
34,Privado,216864,Bachillerato,9,Divorciado,Otro-servicio,Soltero,Blanco,Mujer,0,3770,45,Estados-Unidos,<=50K
38,Privado,150601,10mo grado,6,Separado,Adm-clerical,Soltero,Blanco,Hombre,0,3770,40,Estados-Unidos,<=50K
74,Gobierno-Estatal,88638,Doctorado,16,Nunca-casado,Profesional-especialista,Otro-familiar,Blanco,Mujer,0,3683,20,Estados-Unidos,>50K
68,Gobierno-Federal,422013,Bachillerato,9,Divorciado,Profesional-especialista,Fuera-de-familia,Blanco,Mujer,0,3683,40,Estados-Unidos,<=50K
41,Privado,70037,Algunos-cursos-universitarios,10,Nunca-casado,Artesanía-reparación,Soltero,Blanco,Hombre,0,3004,60,?,>50K
45,Privado,172274,Doctorado,16,Divorciado,Profesional-especialista,Soltero,Negro,Mujer,0,3004,35,Estados-Unidos,>50K
38,Autónomo-no-incorporado,164526,Escuela-profesional,15,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2824,45,Estados-Unidos,>50K
52,Privado,129177,Licenciatura,13,Viudo,Otro-servicio,Fuera-de-familia,Blanco,Mujer,0,2824,20,Estados-Unidos,>50K
32,Privado,136204,Maestría,14,Separado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2824,55,Estados-Unidos,>50K
51,?,172175,Doctorado,16,Nunca-casado,?,Fuera-de-familia,Blanco,Hombre,0,2824,40,Estados-Unidos,>50K
46,Privado,45363,Escuela-profesional,15,Divorciado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2824,40,Estados-Unidos,>50K
45,Privado,172822,11vo grado,7,Divorciado,Transporte-mudanzas,Fuera-de-familia,Blanco,Hombre,0,2824,76,Estados-Unidos,>50K
57,Privado,317847,Maestría,14,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2824,50,Estados-Unidos,>50K
22,Privado,119592,Assoc-acdm,12,Nunca-casado,Manipuladores-limpiadores,Fuera-de-familia,Negro,Hombre,0,2824,40,?,>50K
34,Privado,203034,Licenciatura,13,Separado,Ventas,Fuera-de-familia,Blanco,Hombre,0,2824,50,Estados-Unidos,>50K
37,Privado,188774,Licenciatura,13,Nunca-casado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2824,40,Estados-Unidos,>50K
29,Privado,77009,11vo grado,7,Separado,Ventas,Fuera-de-familia,Blanco,Mujer,0,2754,42,Estados-Unidos,<=50K
61,Privado,29059,Bachillerato,9,Divorciado,Ventas,Soltero,Blanco,Mujer,0,2754,25,Estados-Unidos,<=50K
51,Privado,153870,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Transporte-mudanzas,Esposo,Blanco,Hombre,0,2603,40,Estados-Unidos,<=50K
61,?,135285,Bachillerato,9,Casado-cónyuge-civil,?,Esposo,Blanco,Hombre,0,2603,32,Estados-Unidos,<=50K
21,Privado,34310,Asociado-vocacional,11,Casado-cónyuge-civil,Artesanía-reparación,Esposo,Blanco,Hombre,0,2603,40,Estados-Unidos,<=50K
33,Privado,228696,1ro-4to grado,2,Casado-cónyuge-civil,Artesanía-reparación,Fuera-de-familia,Blanco,Hombre,0,2603,32,México,<=50K
49,Privado,122066,5to-6to grado,3,Casado-cónyuge-civil,Otro-servicio,Esposo,Blanco,Hombre,0,2603,40,Grecia,<=50K
37,Autónomo-incorporado,107164,10mo grado,6,Nunca-casado,Transporte-mudanzas,Fuera-de-familia,Blanco,Hombre,0,2559,50,Estados-Unidos,>50K
38,Privado,175360,10mo grado,6,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2559,90,Estados-Unidos,>50K
23,Privado,44064,Algunos-cursos-universitarios,10,Separado,Otro-servicio,Fuera-de-familia,Blanco,Hombre,0,2559,40,Estados-Unidos,>50K
59,Autónomo-incorporado,107287,10mo grado,6,Viudo,Ejecutivo-administrativo,Soltero,Blanco,Mujer,0,2559,50,Estados-Unidos,>50K
52,Privado,198863,Escuela-profesional,15,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2559,60,Estados-Unidos,>50K
51,Privado,123011,Licenciatura,13,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2559,50,Estados-Unidos,>50K
60,Autónomo-no-incorporado,205246,Bachillerato,9,Nunca-casado,Ejecutivo-administrativo,Fuera-de-familia,Negro,Hombre,0,2559,50,Estados-Unidos,>50K
63,Gobierno-Federal,39181,Doctorado,16,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Mujer,0,2559,60,Estados-Unidos,>50K
53,Privado,149650,Bachillerato,9,Nunca-casado,Ventas,Fuera-de-familia,Blanco,Hombre,0,2559,48,Estados-Unidos,>50K
51,Privado,197163,Escuela-profesional,15,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Mujer,0,2559,50,Estados-Unidos,>50K
37,Autónomo-no-incorporado,137527,Doctorado,16,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Mujer,0,2559,60,Estados-Unidos,>50K
54,Privado,161691,Maestría,14,Divorciado,Profesional-especialista,Fuera-de-familia,Blanco,Mujer,0,2559,40,Estados-Unidos,>50K
44,Privado,326232,Licenciatura,13,Divorciado,Ejecutivo-administrativo,Soltero,Blanco,Hombre,0,2547,50,Estados-Unidos,>50K
43,Privado,115806,Maestría,14,Divorciado,Ejecutivo-administrativo,Soltero,Blanco,Mujer,0,2547,40,Estados-Unidos,>50K
51,Privado,115066,Algunos-cursos-universitarios,10,Divorciado,Adm-clerical,Soltero,Blanco,Mujer,0,2547,40,Estados-Unidos,>50K
43,Privado,289669,Maestría,14,Divorciado,Profesional-especialista,Soltero,Blanco,Mujer,0,2547,40,Estados-Unidos,>50K
71,?,100820,Bachillerato,9,Casado-cónyuge-civil,?,Esposo,Blanco,Hombre,0,2489,15,Estados-Unidos,<=50K
48,Privado,121253,Licenciatura,13,Casado-cónyuge-ausente,Ventas,Soltero,Blanco,Mujer,0,2472,70,Estados-Unidos,>50K
71,Privado,110380,Bachillerato,9,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2467,52,Estados-Unidos,<=50K
73,Autónomo-no-incorporado,233882,Bachillerato,9,Casado-cónyuge-civil,Agricultura-pesca,Esposo,Asiático-Isleño-Pacífico,Hombre,0,2457,40,Vietnam,<=50K
68,?,192052,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,?,Esposa,Blanco,Mujer,0,2457,40,Estados-Unidos,<=50K
67,?,174995,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,?,Esposo,Blanco,Hombre,0,2457,40,Estados-Unidos,<=50K
40,Autónomo-no-incorporado,335549,Escuela-profesional,15,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2444,45,Estados-Unidos,>50K
50,Privado,237729,Bachillerato,9,Viudo,Ventas,Fuera-de-familia,Blanco,Mujer,0,2444,72,Estados-Unidos,>50K
51,Gobierno-Estatal,68898,Asociado-vocacional,11,Divorciado,Soporte-técnico,Fuera-de-familia,Blanco,Hombre,0,2444,39,Estados-Unidos,>50K
42,Privado,107276,Algunos-cursos-universitarios,10,Nunca-casado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Mujer,0,2444,40,Estados-Unidos,>50K
39,Privado,141584,Maestría,14,Nunca-casado,Ventas,Fuera-de-familia,Blanco,Hombre,0,2444,45,Estados-Unidos,>50K
32,Privado,207668,Licenciatura,13,Nunca-casado,Ejecutivo-administrativo,Otro-familiar,Blanco,Hombre,0,2444,50,Estados-Unidos,>50K
53,Privado,313243,Algunos-cursos-universitarios,10,Separado,Artesanía-reparación,Fuera-de-familia,Blanco,Hombre,0,2444,45,Estados-Unidos,>50K
40,Gobierno-Local,147372,Algunos-cursos-universitarios,10,Nunca-casado,Servicios-protección,Fuera-de-familia,Blanco,Hombre,0,2444,40,Estados-Unidos,>50K
38,Privado,237608,Licenciatura,13,Nunca-casado,Ventas,Fuera-de-familia,Blanco,Mujer,0,2444,45,Estados-Unidos,>50K
33,Privado,194901,Asociado-vocacional,11,Separado,Artesanía-reparación,Fuera-de-familia,Blanco,Hombre,0,2444,42,Estados-Unidos,>50K
43,Privado,155106,Assoc-acdm,12,Divorciado,Artesanía-reparación,Fuera-de-familia,Blanco,Hombre,0,2444,70,Estados-Unidos,>50K
50,Autónomo-incorporado,121441,11vo grado,7,Nunca-casado,Ejecutivo-administrativo,Otro-familiar,Blanco,Hombre,0,2444,40,Estados-Unidos,>50K
44,Privado,162028,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Adm-clerical,Esposa,Blanco,Mujer,0,2415,6,Estados-Unidos,>50K
51,Autónomo-no-incorporado,160724,Licenciatura,13,Casado-cónyuge-civil,Ventas,Esposo,Asiático-Isleño-Pacífico,Hombre,0,2415,40,China,>50K
41,Privado,132222,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,40,Estados-Unidos,>50K
60,Autónomo-incorporado,226355,Asociado-vocacional,11,Casado-cónyuge-civil,Operador-máquina-inspector,Esposo,Blanco,Hombre,0,2415,70,?,>50K
37,Privado,329980,Maestría,14,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,60,Estados-Unidos,>50K
55,Autónomo-incorporado,124137,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,35,Grecia,>50K
39,Autónomo-incorporado,329980,Licenciatura,13,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,60,Estados-Unidos,>50K
42,Autónomo-incorporado,187702,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,60,Estados-Unidos,>50K
49,Privado,199029,Licenciatura,13,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,55,Estados-Unidos,>50K
47,Autónomo-no-incorporado,145290,Bachillerato,9,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,50,Estados-Unidos,>50K
41,Gobierno-Local,297248,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,45,Estados-Unidos,>50K
55,Autónomo-incorporado,227856,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,50,Estados-Unidos,>50K
39,Privado,179731,Maestría,14,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposa,Blanco,Mujer,0,2415,65,Estados-Unidos,>50K
42,Privado,154374,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,60,Estados-Unidos,>50K
41,?,27187,Asociado-vocacional,11,Casado-cónyuge-civil,?,Esposo,Blanco,Hombre,0,2415,12,Estados-Unidos,>50K
46,Privado,326857,Maestría,14,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,65,Estados-Unidos,>50K
40,Privado,160369,Maestría,14,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,45,Estados-Unidos,>50K
32,Privado,396745,Licenciatura,13,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,48,Estados-Unidos,>50K
41,Autónomo-incorporado,151089,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,55,Estados-Unidos,>50K
60,Autónomo-incorporado,336188,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,80,Estados-Unidos,>50K
31,Privado,279015,Maestría,14,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,70,Taiwán,>50K
58,Autónomo-no-incorporado,43221,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Agricultura-pesca,Esposo,Blanco,Hombre,0,2415,40,Estados-Unidos,>50K
37,Autónomo-incorporado,30529,Licenciatura,13,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,50,Estados-Unidos,>50K
44,Autónomo-no-incorporado,201742,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,50,Estados-Unidos,>50K
39,Autónomo-no-incorporado,218490,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,50,?,>50K
43,Gobierno-Federal,156996,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Asiático-Isleño-Pacífico,Hombre,0,2415,55,?,>50K
55,Autónomo-incorporado,298449,Licenciatura,13,Casado-cónyuge-civil,Ejecutivo-administrativo,Esposo,Blanco,Hombre,0,2415,50,Estados-Unidos,>50K
44,Autónomo-incorporado,191712,Maestría,14,Casado-cónyuge-civil,Profesional-especialista,Esposo,Blanco,Hombre,0,2415,55,Estados-Unidos,>50K
39,Privado,198654,Escuela-profesional,15,Casado-cónyuge-civil,Profesional-especialista,Esposo,Asiático-Isleño-Pacífico,Hombre,0,2415,67,India,>50K
46,Autónomo-no-incorporado,102308,Licenciatura,13,Casado-cónyuge-civil,Ventas,Esposo,Blanco,Hombre,0,2415,40,Estados-Unidos,>50K
