edad,clase_trabajo,peso_final,educacion,educacion_num,estado_civil,ocupacion,relacion,raza,sexo,ganancia_capital,perdida_capital,horas_por_semana,pais_origen,ingreso
38,Autónomo-no-incorporado,164526,Escuela-profesional,15,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2824,45,Estados-Unidos,>50K
51,desconocido,172175,Doctorado,16,Nunca-casado,desconocido,Fuera-de-familia,Blanco,Hombre,0,2824,40,Estados-Unidos,>50K
46,Privado,45363,Escuela-profesional,15,Divorciado,Profesional-especialista,Fuera-de-familia,Blanco,Hombre,0,2824,40,Estados-Unidos,>50K
57,Privado,317847,Maestría,14,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2824,50,Estados-Unidos,>50K
22,Privado,119592,Assoc-acdm,12,Nunca-casado,Manipuladores-limpiadores,Fuera-de-familia,Negro,Hombre,0,2824,40,desconocido,>50K
34,Privado,203034,Licenciatura,13,Separado,Ventas,Fuera-de-familia,Blanco,Hombre,0,2824,50,Estados-Unidos,>50K
37,Privado,188774,Licenciatura,13,Nunca-casado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2824,40,Estados-Unidos,>50K
29,Privado,77009,11vo grado,7,Separado,Ventas,Fuera-de-familia,Blanco,Mujer,0,2754,42,Estados-Unidos,<=50K
51,Privado,153870,Algunos-cursos-universitarios,10,Casado-cónyuge-civil,Transporte-mudanzas,Esposo,Blanco,Hombre,0,2603,40,Estados-Unidos,<=50K
21,Privado,34310,Asociado-vocacional,11,Casado-cónyuge-civil,Artesanía-reparación,Esposo,Blanco,Hombre,0,2603,40,Estados-Unidos,<=50K
49,Privado,122066,5to-6to grado,3,Casado-cónyuge-civil,Otro-servicio,Esposo,Blanco,Hombre,0,2603,40,Grecia,<=50K
37,Autónomo-incorporado,107164,10mo grado,6,Nunca-casado,Transporte-mudanzas,Fuera-de-familia,Blanco,Hombre,0,2559,50,Estados-Unidos,>50K
23,Privado,44064,Algunos-cursos-universitarios,10,Separado,Otro-servicio,Fuera-de-familia,Blanco,Hombre,0,2559,40,Estados-Unidos,>50K
59,Autónomo-incorporado,107287,10mo grado,6,Viudo,Ejecutivo-administrativo,Soltero,Blanco,Mujer,0,2559,50,Estados-Unidos,>50K
51,Privado,123011,Licenciatura,13,Divorciado,Ejecutivo-administrativo,Fuera-de-familia,Blanco,Hombre,0,2559,50,Estados-Unidos,>50K
60,Autónomo-no-incorporado,205246,Bachillerato,9,Nunca-casado,Ejecutivo-administrativo,Fuera-de-familia,Negro,Hombre,0,2559,50,Estados-Unidos,>50K
53,Privado,149650,Bachillerato,9,Nunca-casado,Ventas,Fuera-de-familia,Blanco,Hombre,0,2559,48,Estados-Unidos,>50K
51,Privado,197163,Escuela-profesional,15,Nunca-casado,Profesional-especialista,Fuera-de-familia,Blanco,Mujer,0,2559,50,Estados-Unidos,>50K
54,Privado,161691,Maestría,14,Divorciado,Profesional-especialista,Fuera-de-familia,Blanco,Mujer,0,2559,40,Estados-Unidos,>50K
44,Privado,326232,Licenciatura,13,Divorciado,Ejecutivo-administrativo,Soltero,Blanco,Hombre,0,2547,50,Estados-Unidos,>50K
